Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
1437,4,11,5,2,0,3,9.3,0.016047301,249.8092,1999,3735.138
1145,3,7,3,2,2,0,5.92,0.019278216,48.2692,2009,443.4228
1314,4,6,5,2,0,3,17.5,0.016760075,141.618,1999,2097.27
1129,3,15,1,2,2,2,19.2,0.0,182.095,1998,732.38
1147,4,13,8,0,2,3,8.93,0.0,53.8614,1987,994.7052
142,3,9,3,2,2,0,10.395,0.0,51.4008,2009,556.6088
1423,3,14,8,0,2,3,13.65,0.012741089,57.6588,1987,343.5528
1310,4,14,9,2,2,1,12.6,0.127469857,107.7622,1985,4022.7636
1303,3,12,4,2,1,3,16.2,0.016687114,96.9726,2002,1076.5986
513,3,12,2,2,1,3,19.2,0.09444959,187.8214,2007,4710.535
1317,4,15,5,2,0,3,11.8,0.0,45.5402,1999,1516.0266
1148,3,11,6,1,0,3,18.5,0.045463773,144.1102,1997,2187.153
1332,3,15,5,2,0,3,15.1,0.1000135,145.4786,1999,1589.2646
522,3,14,6,1,0,3,17.6,0.047257328,119.6782,1997,2145.2076
523,4,15,8,0,2,3,16.35,0.0680243,196.4426,1987,1977.426
1330,3,1,6,1,0,3,9.0,0.069088961,56.3614,1997,1547.3192
1102,4,8,3,2,2,0,11.8,0.008596051,115.3492,2009,1621.8888
1330,3,1,5,2,0,3,9.0,0.069196376,54.3614,1999,718.3982
1328,4,4,9,2,2,1,12.6,0.034237682,113.2834,1985,2303.668
1322,4,11,7,1,1,3,13.35,0.10249212,230.5352,2004,2748.4224
385,3,14,8,0,2,3,18.85,0.138190277,250.8724,1987,3775.086
1327,3,9,9,2,2,1,12.6,0.035399923,144.5444,1985,4064.0432
1270,4,13,7,1,1,3,14.6,0.025698134,196.5084,2004,1587.2672
122,4,9,0,1,0,2,12.6,0.057556998,107.6938,1985,214.3876
527,3,12,6,1,0,3,13.85,0.025896485,165.021,1997,4078.025
528,4,13,2,2,1,3,13.0,0.099887103,45.906,2007,838.908
506,3,14,7,1,1,3,7.645,0.066693437,42.3112,2004,1065.28
1075,0,4,8,0,2,3,11.65,0.019356132,39.1164,1987,308.9312
1269,3,11,1,2,2,2,5.925,0.161466534,45.5086,1998,178.4344
1427,3,10,0,1,0,2,12.6,0.072221801,43.6454,1985,125.8362
1534,4,11,1,2,2,2,19.25,0.170348551,55.7956,1998,163.7868
483,4,8,3,2,2,0,18.6,0.080829372,96.4436,2009,2741.7644
1087,4,14,3,2,2,0,18.7,0.0,256.6672,2009,3068.0064
1256,4,5,4,2,1,3,17.85,0.0,93.1436,2002,2174.5028
484,4,7,6,1,0,3,17.5,0.097904029,174.8738,1997,2085.2856
1432,4,8,5,2,0,3,10.0,0.089291137,146.7102,1999,3791.0652
1430,3,15,9,2,2,1,12.6,0.059511812,128.0678,1985,2797.6916
1162,3,7,3,2,2,0,8.85,0.113123893,122.5388,2009,1609.9044
322,3,14,9,2,2,1,12.6,0.123111453,36.9874,1985,388.1614
1255,4,14,9,2,2,1,12.6,0.026480954,87.6198,1985,2180.495
1322,4,11,6,1,0,3,13.35,0.102511504,230.6352,1997,3435.528
1146,4,6,8,0,2,3,9.8,0.02681843,126.002,1987,2150.534
1124,4,14,5,2,0,3,13.6,0.117818348,192.9136,1999,2527.3768
1127,4,10,3,2,2,0,21.35,0.069102831,259.9278,2009,6501.8699
317,3,10,8,0,2,3,12.15,0.042277867,126.5046,1987,373.5138
488,2,11,1,2,2,2,6.42,0.089498926,178.1002,1998,358.2004
1428,4,8,4,2,1,3,19.6,0.0,153.3024,2002,2428.8384
1132,4,10,4,2,1,3,10.0,0.025879577,265.2226,2002,5815.0972
504,3,9,6,1,0,3,15.85,0.121632721,60.622,1997,2576.646
494,3,11,0,1,0,2,12.6,0.195979015,196.8794,1985,780.3176
318,4,8,6,1,0,3,7.39,0.067779712,143.8812,1997,3134.5864
118,4,12,8,0,2,3,10.195,0.159803853,141.5154,1987,850.8924
136,3,10,8,0,2,3,9.895,0.028696932,117.0492,1987,810.9444
500,4,15,2,2,1,3,10.895,0.065041581,196.3794,2007,3121.2704
1293,4,13,2,2,1,3,12.15,0.028760013,151.4708,2007,4815.0656
1288,4,14,3,2,2,0,7.905,0.010053105,249.0408,2009,6258.52
1286,4,13,4,2,1,3,9.195,0.048157338,106.1622,2002,2117.244
1435,4,4,5,2,0,3,8.365,0.071958197,38.0506,1999,796.9626
988,4,14,6,1,0,3,15.1,0.173481304,194.511,1997,4910.275
1373,4,10,0,1,0,2,12.6,0.061082177,180.0344,1985,892.172
537,4,15,3,2,2,0,10.0,0.0,246.9144,2009,3185.1872
138,3,6,4,2,1,3,7.97,0.040071131,87.3514,2002,1062.6168
986,4,15,9,2,2,1,12.6,0.012090074,38.2848,1985,484.7024
979,3,12,0,1,0,2,12.6,0.15028599,51.0692,1985,147.8076
973,4,14,9,2,2,1,12.6,0.026015519,255.8356,1985,2543.356
1399,2,14,1,2,2,2,17.7,0.195068226,185.4266,1998,184.4266
1401,4,6,7,1,1,3,19.35,0.033082215,172.5738,2004,4865.6664
577,3,11,4,2,1,3,13.65,0.078946455,186.024,2002,1118.544
931,4,7,4,2,1,3,17.6,0.041700756,164.8526,2002,2302.3364
930,4,8,6,1,0,3,8.645,0.143422643,95.841,1997,2027.361
1425,3,14,6,1,0,3,15.6,0.105296072,170.1764,1997,3435.528
504,3,9,8,0,2,3,15.85,0.121531501,59.222,1987,599.22
921,4,2,4,2,1,3,18.25,0.0,164.7526,2002,4604.6728
586,4,10,2,2,1,3,7.855,0.011324862,189.6188,2007,2285.0256
1413,0,13,5,2,0,3,7.825,0.186357148,254.3698,1999,5580.7356
1405,3,12,6,1,0,3,8.39,0.024205661,114.0176,1997,2290.352
1409,4,14,5,2,0,3,12.85,0.033230816,172.3422,1999,1207.0954
591,4,9,0,1,0,2,12.6,0.113720344,89.9804,1985,643.1628
1034,4,12,2,2,1,3,19.0,0.112556507,104.9622,2007,1587.933
567,4,10,4,2,1,3,5.905,0.0,222.5456,2002,5305.0944
1030,4,14,6,1,0,3,7.76,0.059352241,101.87,1997,1697.79
1357,1,12,6,1,0,3,11.8,0.014087057,180.3344,1997,1427.4752
1356,0,14,3,2,2,0,16.75,0.045230944,187.9556,2009,4693.89
1353,4,13,0,1,0,2,12.6,0.195979015,194.6136,1985,583.2408
1043,3,9,9,2,2,1,12.6,0.031382044,171.3764,1985,3091.9752
539,3,15,2,2,1,3,15.5,0.12639886,177.0028,2007,2479.4392
1053,4,15,7,1,1,3,6.055,0.025403898,160.992,2004,2716.464
540,3,1,9,2,2,1,12.6,0.039057677,155.963,1985,3285.723
313,3,14,6,1,0,3,6.305,0.123115764,95.6436,1997,661.8052
314,4,6,5,2,0,3,20.85,0.039624006,117.2808,1999,1523.3504
390,4,15,1,2,2,2,20.75,0.040421193,122.173,1998,369.519
553,4,11,5,2,0,3,8.895,0.105274111,39.9138,1999,690.4346
1348,4,7,4,2,1,3,19.6,0.033970195,55.1614,2002,1381.535
1431,4,15,7,1,1,3,19.7,0.053212652,57.893,2004,622.523
1052,4,8,7,1,1,3,9.8,0.024378706,114.5492,2004,1274.3412
475,4,12,0,1,0,2,12.6,0.009714595,120.0414,1985,487.3656
1048,4,12,5,2,0,3,12.15,0.131383762,246.046,1999,1231.73
1344,3,15,7,1,1,3,8.75,0.07461309,187.4556,2004,3755.112
1293,4,13,9,2,2,1,12.6,0.028459761,149.9708,1985,4363.6532
1344,3,15,6,1,0,3,8.75,0.074627201,187.8556,1997,1314.2892
1046,4,12,4,2,1,3,13.3,0.063695084,151.0708,2002,1805.6496
1362,3,14,9,2,2,1,12.6,0.045797829,178.5344,1985,2854.9504
403,3,14,5,2,0,3,8.31,0.115857223,179.1028,1999,3896.2616
1383,3,7,8,0,2,3,16.75,0.024832806,38.7822,1987,667.7974
411,4,14,3,2,2,0,19.75,0.034027909,212.0902,2009,3185.853
1381,3,10,8,0,2,3,17.1,0.0467696,141.1838,1987,2247.7408
995,3,9,8,0,2,3,10.5,0.116576702,163.121,1987,1794.331
992,3,9,4,2,1,3,6.635,0.0,121.3098,2002,2530.7058
1023,0,7,0,1,0,2,12.6,0.195979015,225.372,1985,679.116
1254,4,7,8,0,2,3,14.15,0.035913805,41.4138,1987,812.276
391,4,11,6,1,0,3,13.3,0.079806266,232.53,1997,699.09
1422,0,12,2,2,1,3,8.89,0.005505481,102.4016,2007,2732.4432
1010,3,6,0,1,0,2,12.6,0.064625342,176.937,1985,176.437
1011,4,14,9,2,2,1,12.6,0.071636937,121.7098,1985,4097.3332
312,3,5,4,2,1,3,9.1,0.0,173.2054,2002,3151.8972
1175,4,12,5,2,0,3,7.5,0.032677678,239.0906,1999,5942.265
999,3,12,2,2,1,3,16.85,0.160760054,192.4478,2007,4843.695
344,4,14,7,1,1,3,7.485,0.06911065,109.0228,2004,2542.0244
1002,4,7,2,2,1,3,11.6,0.041177505,140.3154,2007,2552.6772
113,4,14,3,2,2,0,11.65,0.040081193,227.0694,2009,1141.847
394,4,13,2,2,1,3,13.0,0.035307322,47.5034,2007,680.4476
1049,2,7,4,2,1,3,12.65,0.063017847,159.0578,2002,2085.9514
1226,3,10,1,2,2,2,20.25,0.171938781,92.512,1998,186.424
1042,3,10,7,1,1,3,8.6,0.040197932,190.153,2004,3036.048
451,4,5,2,2,1,3,12.6,0.049058014,62.7194,2007,866.8716
1234,4,12,7,1,1,3,17.7,0.01161096,95.041,2004,868.869
334,4,7,6,1,0,3,14.15,0.183507295,82.4276,1997,1137.1864
1534,4,11,2,2,1,3,19.25,0.102349519,52.7956,2007,928.1252
1236,4,4,8,0,2,3,8.88,0.086708987,151.7682,1987,762.341
1035,4,13,4,2,1,3,20.5,0.032835147,40.2822,2002,707.0796
459,4,10,9,2,2,1,12.6,0.033809913,180.5976,1985,6501.8699
938,4,13,6,1,0,3,13.5,0.07266912,160.292,1997,1438.128
1248,4,8,9,2,2,1,12.6,0.144338493,224.4404,1985,6501.8699
1422,4,12,1,2,2,2,8.89,0.009163216,101.7016,1998,101.2016
586,4,10,3,2,2,0,7.855,0.011307038,188.5188,2009,952.094
943,4,13,6,1,0,3,7.235,0.076855628,116.0492,1997,1969.4364
921,4,2,9,2,2,1,12.6,0.059956876,165.4526,1985,5262.4832
946,4,11,4,2,1,3,6.92,0.038532062,60.5852,2002,1314.2892
929,4,15,2,2,1,3,9.3,0.043209581,90.8172,2007,535.3032
1203,4,3,1,2,2,2,18.5,0.056816465,132.1284,1998,263.6568
309,4,13,7,1,1,3,8.02,0.019866705,154.5972,2004,1402.1748
1286,4,13,2,2,1,3,9.195,0.048331717,105.1622,2007,1693.7952
466,4,3,4,2,1,3,12.8,0.091221855,105.5938,2002,2143.876
468,4,13,5,2,0,3,16.6,0.027622076,177.6344,1999,2676.516
969,3,12,7,1,1,3,14.0,0.0,53.064,2004,905.488
470,4,12,5,2,0,3,18.6,0.039355947,246.3802,1999,6501.8699
471,4,2,7,1,1,3,16.0,0.060836524,226.8404,2004,6301.1312
446,4,8,7,1,1,3,17.6,0.082316506,160.692,2004,1597.92
445,4,14,7,1,1,3,21.25,0.155350299,178.237,2004,529.311
943,4,13,7,1,1,3,7.235,0.076841095,117.5492,2004,1969.4364
315,4,7,2,2,1,3,14.6,0.151419185,50.3692,2007,1034.6532
