Temperature(°C),Dew point temperature(°C),Wind speed (m/s),Humidity(%),Visibility (10m),Hour,Rented Bike Count
-5.2,-17.6,2.2,37,2000,0,254
-5.5,-17.6,0.8,38,2000,1,204
-6.0,-17.7,1.0,39,2000,2,173
-6.2,-17.6,0.9,40,2000,3,107
-6.0,-18.6,2.3,36,2000,4,78
-6.4,-18.7,1.5,37,2000,5,100
-6.6,-19.5,1.3,35,2000,6,181
-7.4,-19.3,0.9,38,2000,7,460
-7.6,-19.8,1.1,37,2000,8,930
-6.5,-22.4,0.5,27,1928,9,490
-3.5,-21.2,1.2,24,1996,10,339
-0.5,-20.2,1.3,21,1936,11,360
1.7,-17.2,1.4,23,2000,12,449
2.4,-15.6,1.6,25,2000,13,451
3.0,-14.6,2.0,26,2000,14,447
2.1,-11.4,3.2,36,2000,15,463
1.2,-7.0,4.2,54,793,16,484
0.8,-6.5,1.6,58,2000,17,555
0.6,-5.0,1.4,66,2000,18,862
0.0,-3.5,1.7,77,2000,19,600
-0.3,-3.5,1.5,79,1913,20,426
-0.8,-3.6,0.8,81,1687,21,405
-0.9,-3.4,1.5,83,1380,22,398
-1.3,-3.6,1.0,84,1265,23,323
-1.8,-3.6,1.1,87,994,0,328
-2.2,-4.2,0.6,86,990,1,308
-2.9,-4.9,1.5,86,1256,2,262
-3.5,-6.2,2.2,81,1221,3,167
-3.8,-6.9,2.0,79,1167,4,89
-4.0,-7.1,1.5,79,1202,5,79
-4.3,-6.9,2.1,82,1178,6,70
-4.4,-7.1,2.5,81,1276,7,146
-4.2,-7.3,2.1,79,1436,8,219
-2.9,-7.9,1.6,68,1487,9,328
-0.4,-7.8,1.6,57,1309,10,334
1.9,-7.7,1.8,49,1406,11,388
4.3,-7.8,1.3,41,1666,12,479
6.0,-7.9,1.8,36,1780,13,606
7.3,-7.1,1.3,35,1955,14,611
7.6,-4.8,2.3,41,1953,15,589
6.4,-3.8,2.6,48,1945,16,618
6.0,-3.3,2.5,51,1891,17,572
5.5,-3.3,1.5,53,1697,18,489
5.0,-4.0,2.3,52,1666,19,385
4.6,-4.6,1.2,51,1585,20,359
4.1,-4.1,1.2,55,1448,21,377
3.5,-4.9,1.5,54,1446,22,354
4.0,-4.0,1.0,56,1352,23,366
4.0,-3.5,1.4,58,1296,0,342
3.9,-1.2,1.7,69,485,1,227
3.3,0.0,1.4,79,830,2,228
3.4,-1.3,1.6,71,1011,3,117
3.5,-0.8,1.0,73,1060,4,76
3.9,-0.1,1.9,75,914,5,32
3.4,1.2,2.5,86,278,6,13
3.1,1.7,1.2,91,129,7,22
3.2,2.0,1.8,92,244,8,85
3.5,2.1,1.8,91,231,9,152
4.4,2.7,2.2,89,257,10,200
5.1,3.1,1.4,87,321,11,273
5.8,3.4,1.7,85,349,12,333
6.8,3.7,1.9,81,390,13,495
7.6,3.6,1.2,76,422,14,563
8.0,3.4,1.6,73,433,15,621
7.6,3.8,1.6,77,399,16,598
6.7,3.8,1.5,82,358,17,545
6.0,3.4,1.9,84,327,18,443
5.7,3.3,1.7,85,309,19,422
5.2,3.2,1.4,87,253,20,397
4.7,2.7,1.2,87,247,21,385
4.3,2.6,1.8,89,201,22,350
3.9,2.4,1.3,90,194,23,303
4.2,2.3,0.6,88,216,0,285
4.3,2.3,0.5,87,221,1,186
4.4,2.4,1.8,87,207,2,112
3.6,1.3,2.3,85,206,3,65
2.8,1.1,1.5,89,130,4,41
2.0,-0.5,2.7,83,253,5,82
1.2,-2.5,3.7,76,371,6,200
0.2,-5.0,3.4,68,702,7,498
-0.8,-5.7,3.5,69,954,8,937
-1.5,-11.3,4.2,47,1888,9,509
-1.1,-13.0,4.5,40,2000,10,311
-0.5,-12.1,4.1,41,1799,11,379
-0.3,-12.9,4.8,38,1823,12,393
0.0,-15.5,5.4,30,1938,13,391
0.1,-16.7,4.5,27,2000,14,338
-0.1,-17.8,5.8,25,2000,15,341
-0.2,-18.8,4.7,23,2000,16,375
-1.3,-18.3,5.3,26,2000,17,515
-2.1,-17.7,3.9,29,2000,18,807
-2.9,-17.3,3.2,32,2000,19,568
-3.6,-15.8,3.0,38,2000,20,398
-4.6,-15.3,4.5,43,2000,21,397
-5.3,-15.3,2.5,45,2000,22,353
-5.8,-16.1,2.4,44,2000,23,248
-6.1,-16.9,2.6,42,2000,0,216
-6.5,-17.6,2.8,41,2000,1,198
-6.8,-17.8,2.5,41,2000,2,124
-6.9,-18.5,2.0,39,2000,3,62
-7.2,-20.4,3.0,34,2000,4,42
-7.4,-20.9,2.6,33,2000,5,82
-7.4,-20.6,3.2,34,2000,6,172
-7.5,-21.0,2.2,33,2000,7,381
-8.1,-20.5,1.6,36,2000,8,812
-7.6,-21.8,1.3,31,1974,9,462
-5.5,-22.0,2.8,26,1967,10,269
-3.9,-21.0,0.0,25,1959,11,334
-2.3,-19.7,0.0,25,1962,12,321
-1.6,-18.2,0.0,27,1955,13,325
-1.1,-17.3,0.0,28,2000,14,334
-0.7,-16.9,0.0,28,2000,15,353
-0.5,-16.0,0.0,30,2000,16,435
-1.6,-15.1,0.0,35,2000,17,529
-2.6,-14.4,0.0,40,2000,18,789
-3.2,-13.5,0.0,45,2000,19,597
-3.5,-13.4,0.0,46,2000,20,418
-3.7,-13.3,0.0,47,2000,21,415
-2.8,-12.0,0.0,49,2000,22,393
-2.5,-9.4,0.0,59,1210,23,244
-2.8,-6.2,0.0,77,331,0,145
-3.0,-6.1,0.0,79,293,1,144
-3.0,-6.1,0.0,79,1862,2,117
-3.2,-6.4,0.0,78,1808,3,78
-3.4,-7.2,0.0,75,1982,4,58
-3.6,-7.2,0.0,76,1934,5,87
-3.7,-7.3,0.0,76,1864,6,142
-4.2,-7.6,0.0,77,1741,7,379
-4.2,-7.4,0.0,78,1518,8,802
-3.3,-7.9,0.0,70,1324,9,440
-0.9,-6.8,0.0,64,1224,10,307
1.6,-6.0,1.2,57,1261,11,381
2.4,-6.4,0.9,52,1224,12,405
4.2,-6.1,1.1,47,1469,13,442
5.5,-9.1,1.0,34,1966,14,416
5.5,-10.3,3.1,31,1968,15,412
5.3,-8.2,2.9,37,2000,16,496
4.1,-2.9,2.5,60,1565,17,239
1.7,0.2,1.0,90,66,18,204
1.2,0.0,0.7,92,180,19,205
1.2,0.3,0.6,94,228,20,190
1.1,0.0,0.5,92,235,21,165
1.3,0.1,0.6,92,233,22,222
1.3,0.1,0.6,92,209,23,193
1.4,0.2,0.5,92,240,0,198
1.5,0.3,0.4,92,227,1,218
1.4,0.2,0.7,92,168,2,149
1.9,0.5,1.4,91,218,3,102
1.6,0.4,0.7,92,119,4,62
1.5,0.3,1.1,92,175,5,83
1.0,0.0,0.5,93,148,6,137
0.3,-0.7,0.5,93,173,7,367
-0.2,-0.7,0.8,96,173,8,754
0.1,-1.1,0.8,91,265,9,415
1.1,-1.4,0.7,83,311,10,321
2.3,-2.8,1.7,69,628,11,333
3.7,-2.2,2.4,65,833,12,431
4.1,-9.3,3.1,37,1767,13,394
4.4,-9.4,2.7,36,1975,14,390
4.0,-10.1,3.1,35,1962,15,430
3.2,-9.7,2.9,38,1817,16,471
